District code,District name,State,Population,Latitude,Longitude,Households_with_Internet,sex_ratio,literacy_rate
86,Gurgaon,Haryana,1514432,28.043894789579163,77.01935130260524,67087,85.0,73.0
80,Hisar,Haryana,1743931,29.23628731117825,75.84324682779452,10132,87.0,64.0
83,Jhajjar,Haryana,958405,28.59651868131869,76.61137142857146,5034,86.0,71.0
77,Jind,Haryana,1334152,29.45149821958457,76.29598575667653,5263,87.0,62.0
73,Kaithal,Haryana,1074304,29.960685390946487,76.37698930041155,3724,88.0,60.0
74,Karnal,Haryana,1505324,29.703200647249204,76.87488025889972,11163,89.0,65.0
72,Kurukshetra,Haryana,964655,30.05652659846548,76.78774680306903,7356,89.0,67.0
84,Mahendragarh,Haryana,922088,28.1352161458333,76.14018072916659,2624,89.0,68.0
69,Panchkula,Haryana,561293,30.700897142857126,76.97173238095236,18615,87.0,72.0
75,Panipat,Haryana,1205437,29.343521341463426,76.92895914634147,10024,86.0,65.0
85,Rewari,Haryana,900332,28.19164714828897,76.55956007604564,5121,90.0,71.0
82,Rohtak,Haryana,1061204,28.892517647058817,76.53123235294117,8482,87.0,70.0
79,Sirsa,Haryana,1295189,29.63583446327684,74.90970480225988,6287,90.0,60.0
30,Bilaspur,Himachal Pradesh,381956,31.378042290748898,76.65316079295157,1574,98.0,75.0
406,Bilaspur,Himachal Pradesh,2663629,31.378042290748898,76.65316079295157,8566,97.0,60.0
23,Chamba,Himachal Pradesh,519080,32.66741814595661,76.39354063116366,1615,99.0,62.0
28,Hamirpur,Himachal Pradesh,454768,31.67668481012659,76.49767088607594,2521,110.0,79.0
168,Hamirpur,Himachal Pradesh,1104285,31.67668481012659,76.49767088607594,1196,86.0,59.0
24,Kangra,Himachal Pradesh,1510075,32.14093603238864,76.41205910931173,8053,101.0,76.0
34,Kinnaur,Himachal Pradesh,84121,31.606671840659327,78.51613736263741,354,82.0,72.0
26,Kullu,Himachal Pradesh,437903,31.909119220779253,77.40922649350647,2623,94.0,70.0
27,Mandi,Himachal Pradesh,999777,31.63580594059405,76.96556930693067,5333,101.0,72.0
33,Shimla,Himachal Pradesh,814010,31.15572545180725,77.62573042168668,9177,92.0,75.0
32,Sirmaur,Himachal Pradesh,529855,30.682764453961443,77.43184689507494,2220,92.0,68.0
31,Solan,Himachal Pradesh,580320,31.03864311926604,76.94442140672783,5250,88.0,74.0
29,Una,Himachal Pradesh,521173,31.58330388349513,76.18353932038835,2412,98.0,77.0
355,Bokaro,Jharkhand,2062330,23.6814965034965,85.98398374125864,9754,92.0,62.0
347,Chatra,Jharkhand,1042886,24.11619945750453,84.93295804701627,590,95.0,49.0
350,Deoghar,Jharkhand,1492073,24.33070100755672,86.75697632241814,1944,93.0,53.0
354,Dhanbad,Jharkhand,2684487,23.854509090909094,86.40372924901185,11568,91.0,64.0
362,Dumka,Jharkhand,1321442,24.275006125574265,87.27662450229711,1193,98.0,51.0
346,Garhwa,Jharkhand,1322784,24.08211468926553,83.68664265536722,565,94.0,49.0
349,Giridih,Jharkhand,2445474,24.30578509874329,86.08710915619386,1944,94.0,51.0
